Step Strain_x Stress_x
10164.0 0.0059435837 -1.0196305 
10165.0 0.0059536266 -1.0712785 
10166.0 0.0059636696 -1.1192918 
10167.0 0.0059737126 -1.1635119 
10168.0 0.0059837555 -1.2037757 
10169.0 0.0059937985 -1.2399226 
10170.0 0.0060038415 -1.2718366 
10171.0 0.0060138844 -1.2994401 
10172.0 0.0060239274 -1.3222715 
10173.0 0.0060339704 -1.3403756 
10174.0 0.0060440133 -1.3537338 
10175.0 0.0060540563 -1.362238 
10176.0 0.0060640993 -1.3659009 
10177.0 0.0060741422 -1.3647177 
10178.0 0.0060841852 -1.3586766 
10179.0 0.0060942282 -1.3478261 
10180.0 0.0061042711 -1.3321977 
10181.0 0.0061143141 -1.3117948 
10182.0 0.0061243571 -1.2869458 
10183.0 0.0061344 -1.2579168 
10184.0 0.006144443 -1.2249385 
10185.0 0.006154486 -1.188302 
10186.0 0.0061645289 -1.1483737 
10187.0 0.0061745719 -1.1054975 
10188.0 0.0061846149 -1.0599468 
10189.0 0.0061946578 -1.0121329 
10190.0 0.0062047008 -0.96254882 
10191.0 0.0062147437 -0.91168817 
10192.0 0.0062247867 -0.85985248 
10193.0 0.0062348297 -0.80747743 
10194.0 0.0062448726 -0.75495356 
10195.0 0.0062549156 -0.70258058 
10196.0 0.0062649586 -0.6507014 
10197.0 0.0062750015 -0.59968369 
10198.0 0.0062850445 -0.54985512 
10199.0 0.0062950875 -0.50153609 
10200.0 0.0063051304 -0.45508702 
10201.0 0.0063151734 -0.41075477 
10202.0 0.0063252164 -0.36878603 
10203.0 0.0063352593 -0.32933555 
10204.0 0.0063453023 -0.2924719 
10205.0 0.0063553453 -0.25827049 
10206.0 0.0063653882 -0.2267359 
10207.0 0.0063754312 -0.19804322 
10208.0 0.0063854742 -0.17216999 
10209.0 0.0063955171 -0.1489552 
10210.0 0.0064055601 -0.12846656 
10211.0 0.0064156031 -0.11047474 
10212.0 0.006425646 -0.095198721 
10213.0 0.006435689 -0.082576838 
10214.0 0.006445732 -0.072577335 
10215.0 0.0064557749 -0.065168377 
10216.0 0.0064658179 -0.06030407 
10217.0 0.0064758608 -0.057948331 
10218.0 0.0064859038 -0.057904666 
10219.0 0.0064959468 -0.060022618 
10220.0 0.0065059897 -0.064105959 
10221.0 0.0065160327 -0.070063747 
10222.0 0.0065260757 -0.077803394 
10223.0 0.0065361186 -0.087108597 
10224.0 0.0065461616 -0.097820232 
10225.0 0.0065562046 -0.10971705 
10226.0 0.0065662475 -0.12260339 
10227.0 0.0065762905 -0.13626217 
10228.0 0.0065863335 -0.15051586 
10229.0 0.0065963764 -0.16508446 
10230.0 0.0066064194 -0.1797003 
10231.0 0.0066164624 -0.19417254 
10232.0 0.0066265053 -0.20808047 
10233.0 0.0066365483 -0.22133816 
10234.0 0.0066465913 -0.23379416 
10235.0 0.0066566342 -0.2452868 
10236.0 0.0066666772 -0.25564853 
10237.0 0.0066767202 -0.26471868 
10238.0 0.0066867631 -0.27236398 
10239.0 0.0066968061 -0.27844775 
10240.0 0.0067068491 -0.28278038 
10241.0 0.006716892 -0.28527991 
10242.0 0.006726935 -0.28585433 
10243.0 0.0067369779 -0.28441556 
10244.0 0.0067470209 -0.28077979 
10245.0 0.0067570639 -0.27486987 
10246.0 0.0067671068 -0.26667648 
10247.0 0.0067771498 -0.25613665 
10248.0 0.0067871928 -0.24319087 
10249.0 0.0067972357 -0.22790958 
10250.0 0.0068072787 -0.21031695 
10251.0 0.0068173217 -0.19030444 
10252.0 0.0068273646 -0.1679274 
10253.0 0.0068374076 -0.14332521 
10254.0 0.0068474506 -0.11658662 
10255.0 0.0068574935 -0.087867274 
10256.0 0.0068675365 -0.057225336 
10257.0 0.0068775795 -0.024825827 
10258.0 0.0068876224 0.0092104159 
10259.0 0.0068976654 0.04479848 
10260.0 0.0069077084 0.081664256 
10261.0 0.0069177513 0.11964956 
10262.0 0.0069277943 0.15856392 
10263.0 0.0069378373 0.19828665 
10264.0 0.0069478802 0.2386851 
10265.0 0.0069579232 0.27954241 
10266.0 0.0069679662 0.32080685 
10267.0 0.0069780091 0.36231515 
10268.0 0.0069880521 0.40396543 
10269.0 0.006998095 0.44559399 
10270.0 0.007008138 0.48710642 
10271.0 0.007018181 0.52837714 
10272.0 0.0070282239 0.56922741 
10273.0 0.0070382669 0.60959572 
10274.0 0.0070483099 0.64942443 
10275.0 0.0070583528 0.68856122 
10276.0 0.0070683958 0.72695298 
10277.0 0.0070784388 0.76463742 
10278.0 0.0070884817 0.80147359 
10279.0 0.0070985247 0.83755395 
10280.0 0.0071085677 0.87292207 
10281.0 0.0071186106 0.90758166 
10282.0 0.0071286536 0.94163779 
10283.0 0.0071386966 0.97554473 
10284.0 0.0071487395 1.0089353 
10285.0 0.0071587825 1.041907 
10286.0 0.0071688255 1.0746578 
10287.0 0.0071788684 1.1072114 
10288.0 0.0071889114 1.1396402 
10289.0 0.0071989544 1.1719929 
10290.0 0.0072089973 1.2044006 
10291.0 0.0072190403 1.2371053 
10292.0 0.0072290833 1.2698537 
10293.0 0.0072391262 1.3025888 
10294.0 0.0072491692 1.3351121 
10295.0 0.0072592121 1.3672508 
10296.0 0.0072692551 1.39877 
10297.0 0.0072792981 1.4294425 
10298.0 0.007289341 1.4591193 
10299.0 0.007299384 1.4875869 
10300.0 0.007309427 1.5146292 
10301.0 0.0073194699 1.5400234 
10302.0 0.0073295129 1.5635822 
10303.0 0.0073395559 1.5851522 
10304.0 0.0073495988 1.6046729 
10305.0 0.0073596418 1.6222211 
10306.0 0.0073696848 1.6374223 
10307.0 0.0073797277 1.6502179 
10308.0 0.0073897707 1.6605786 
10309.0 0.0073998137 1.6685166 
10310.0 0.0074098566 1.6739578 
10311.0 0.0074198996 1.6768551 
10312.0 0.0074299426 1.6772194 
10313.0 0.0074399855 1.6749297 
10314.0 0.0074500285 1.6699547 
10315.0 0.0074600715 1.6622669 
10316.0 0.0074701144 1.6519344 
10317.0 0.0074801574 1.6387333 
10318.0 0.0074902003 1.6226886 
10319.0 0.0075002433 1.6040264 
10320.0 0.0075102863 1.582517 
10321.0 0.0075203292 1.5579803 
10322.0 0.0075303722 1.5304356 
10323.0 0.0075404152 1.4999052 
10324.0 0.0075504581 1.4663629 
10325.0 0.0075605011 1.4298045 
10326.0 0.0075705441 1.3902692 
10327.0 0.007580587 1.3478162 
10328.0 0.00759063 1.302511 
10329.0 0.007600673 1.2544038 
10330.0 0.0076107159 1.2038376 
10331.0 0.0076207589 1.1509732 
10332.0 0.0076308019 1.0959413 
10333.0 0.0076408448 1.0388426 
10334.0 0.0076508878 0.98002964 
10335.0 0.0076609308 0.91971176 
10336.0 0.0076709737 0.85818227 
10337.0 0.0076810167 0.79576941 
10338.0 0.0076910597 0.7326939 
10339.0 0.0077011026 0.66958225 
10340.0 0.0077111456 0.60650594 
10341.0 0.0077211886 0.54357009 
10342.0 0.0077312315 0.48104044 
10343.0 0.0077412745 0.41915666 
10344.0 0.0077513174 0.35818362 
10345.0 0.0077613604 0.29830438 
10346.0 0.0077714034 0.23989681 
10347.0 0.0077814463 0.1831936 
10348.0 0.0077914893 0.12810957 
10349.0 0.0078015323 0.074691963 
10350.0 0.0078115752 0.023023574 
10351.0 0.0078216182 -0.026825662 
10352.0 0.0078316612 -0.074841944 
10353.0 0.0078417041 -0.12103521 
10354.0 0.0078517471 -0.16544203 
10355.0 0.0078617901 -0.20814927 
10356.0 0.007871833 -0.24926819 
10357.0 0.007881876 -0.28894712 
10358.0 0.007891919 -0.32740621 
10359.0 0.0079019619 -0.3648031 
10360.0 0.0079120049 -0.40155277 
10361.0 0.0079220479 -0.43761774 
10362.0 0.0079320908 -0.47301007 
10363.0 0.0079421338 -0.50789751 
10364.0 0.0079521768 -0.54218478 
10365.0 0.0079622197 -0.57629347 
