Step Strain_x Stress_x Strain_y Stress_y
1000.0 0.0085228959 0.36957115 0.00087207241 0.62155711 
1001.0 0.0086237482 0.45241473 0.00086831364 1.0020864 
1002.0 0.0087246005 0.73558948 0.00085242663 1.6160992 
1003.0 0.0088254527 0.87508723 0.00081697174 1.876762 
1004.0 0.008926305 0.77158998 0.00075879143 1.4795707 
1005.0 0.0090271573 0.50581865 0.00068270056 0.58678871 
1006.0 0.0091280096 0.31965913 0.00059951826 -0.30110707 
1007.0 0.0092288619 0.42716214 0.00052000196 -0.66883718 
1008.0 0.0093297142 0.7897092 0.00044860534 -0.45180139 
1009.0 0.0094305665 1.1206103 0.000382698 -0.010730823 
1010.0 0.0095314188 1.1705989 0.00031693646 0.35148826 
1011.0 0.0096322711 0.80460055 0.00024693313 0.40655646 
1012.0 0.0097331233 0.15182272 0.00017202144 0.10964816 
1013.0 0.0098339756 -0.46870687 9.5797871e-05 -0.36728934 
1014.0 0.0099348279 -0.88031642 2.4038443e-05 -0.72314074 
1015.0 0.01003568 -1.1221864 -3.894825e-05 -0.87221711 
1016.0 0.010136533 -1.0850774 -9.135793e-05 -0.65747132 
1017.0 0.010237385 -1.0139104 -0.00013579196 -0.38648513 
1018.0 0.010338237 -0.96943502 -0.00017553253 -0.20906146 
1019.0 0.010439089 -0.74588634 -0.00021272863 0.18081275 
1020.0 0.010539942 -0.17121104 -0.0002521022 0.85603911 
1021.0 0.010640794 0.65357054 -0.00030183105 1.5240447 
1022.0 0.010741646 1.3274211 -0.00037000502 1.7790875 
1023.0 0.010842499 1.7228567 -0.00045971076 1.6788346 
1024.0 0.010943351 2.0691411 -0.00056973014 1.7550491 
1025.0 0.011044203 2.3813445 -0.00070098013 2.1418824 
1026.0 0.011145055 2.308628 -0.00085813503 2.3716724 
1027.0 0.011245908 1.6317611 -0.0010439624 2.0479933 
1028.0 0.01134676 0.50100926 -0.0012545272 1.0375255 
1029.0 0.011447612 -0.71645209 -0.0014775886 -0.45567175 
1030.0 0.011548465 -1.622527 -0.0016950811 -1.8856599 
1031.0 0.011649317 -1.9547908 -0.0018897235 -2.660856 
1032.0 0.011750169 -1.6524773 -0.002052163 -2.5597537 
1033.0 0.011851021 -0.84299425 -0.0021836383 -1.8777245 
1034.0 0.011951874 0.30923996 -0.0022924007 -0.90696612 
1035.0 0.012052726 1.4453948 -0.0023901827 -0.056870519 
1036.0 0.012153578 2.2912407 -0.0024872537 0.49092174 
1037.0 0.012254431 2.8604289 -0.0025902286 0.96754846 
1038.0 0.012355283 3.2153587 -0.00270486 1.4117726 
1039.0 0.012456135 3.2958378 -0.0028365056 1.5525448 
1040.0 0.012556987 3.0092547 -0.0029868562 1.1437301 
1041.0 0.01265784 2.4599565 -0.0031509682 0.28903479 
1042.0 0.012758692 1.8664503 -0.0033185212 -0.64224952 
1043.0 0.012859544 1.4239107 -0.0034782798 -1.3230384 
1044.0 0.012960397 1.1277935 -0.0036220385 -1.6237923 
1045.0 0.013061249 0.88466785 -0.0037461791 -1.5501517 
1046.0 0.013162101 0.59783191 -0.0038515982 -1.2762016 
