Step Temp msd
10199.0 719.90026 19.424009 
10200.0 719.64695 19.423037 
10201.0 719.26822 19.422077 
10202.0 718.7572 19.421132 
10203.0 718.12094 19.420204 
10204.0 717.37159 19.419295 
10205.0 716.5195 19.418408 
10206.0 715.57275 19.417545 
10207.0 714.5411 19.41671 
10208.0 713.43792 19.415907 
10209.0 712.27722 19.415141 
10210.0 711.07051 19.414415 
10211.0 709.8271 19.413735 
10212.0 708.55619 19.413104 
10213.0 707.26722 19.412524 
10214.0 705.96835 19.411998 
10215.0 704.66451 19.411526 
10216.0 703.35533 19.411108 
10217.0 702.03499 19.410743 
10218.0 700.69693 19.41043 
10219.0 699.34143 19.410171 
10220.0 697.97999 19.409966 
10221.0 696.63424 19.409816 
10222.0 695.33209 19.409726 
10223.0 694.10279 19.409699 
10224.0 692.97069 19.409737 
10225.0 691.94932 19.409846 
10226.0 691.04007 19.410025 
10227.0 690.23671 19.410277 
10228.0 689.53181 19.410601 
10229.0 688.91958 19.410997 
10230.0 688.39516 19.411463 
10231.0 687.9556 19.411999 
10232.0 687.60646 19.412606 
10233.0 687.36925 19.413283 
10234.0 687.27975 19.414031 
10235.0 687.37458 19.41485 
10236.0 687.67443 19.415742 
10237.0 688.17427 19.416704 
10238.0 688.84567 19.417736 
10239.0 689.64878 19.418836 
10240.0 690.54657 19.419999 
10241.0 691.512 19.42122 
10242.0 692.52376 19.422495 
10243.0 693.55428 19.423817 
10244.0 694.55962 19.42518 
10245.0 695.47929 19.426576 
10246.0 696.24905 19.427998 
10247.0 696.82313 19.429437 
10248.0 697.19379 19.430886 
10249.0 697.39468 19.432337 
10250.0 697.48819 19.433785 
10251.0 697.54748 19.435222 
10252.0 697.64115 19.436647 
10253.0 697.82189 19.438056 
10254.0 698.11934 19.439446 
10255.0 698.53847 19.440817 
10256.0 699.06418 19.442168 
10257.0 699.66835 19.443498 
10258.0 700.31451 19.444809 
10259.0 700.96073 19.446103 
10260.0 701.56634 19.447383 
10261.0 702.10325 19.448651 
10262.0 702.5653 19.449912 
10263.0 702.96739 19.451169 
10264.0 703.33363 19.452428 
10265.0 703.68347 19.45369 
10266.0 704.02601 19.45496 
10267.0 704.36329 19.456239 
10268.0 704.6958 19.457529 
10269.0 705.02466 19.458833 
10270.0 705.35053 19.460152 
10271.0 705.67073 19.461487 
10272.0 705.97515 19.462839 
10273.0 706.24216 19.464207 
10274.0 706.4387 19.465591 
10275.0 706.52968 19.466989 
10276.0 706.49472 19.468401 
10277.0 706.34102 19.469826 
10278.0 706.10204 19.471263 
10279.0 705.82462 19.472716 
10280.0 705.55461 19.474185 
10281.0 705.32804 19.475677 
10282.0 705.1689 19.477194 
10283.0 705.09031 19.478744 
10284.0 705.09528 19.480331 
10285.0 705.17549 19.481961 
10286.0 705.30961 19.483637 
10287.0 705.46404 19.485363 
10288.0 705.59778 19.48714 
10289.0 705.66994 19.488972 
10290.0 705.64713 19.490857 
10291.0 705.50784 19.492795 
10292.0 705.24315 19.494784 
10293.0 704.85495 19.49682 
10294.0 704.35389 19.498898 
10295.0 703.75826 19.501012 
10296.0 703.09349 19.503154 
10297.0 702.39127 19.505315 
10298.0 701.68723 19.507487 
10299.0 701.01707 19.509661 
10300.0 700.4111 19.511828 
10301.0 699.88747 19.51398 
10302.0 699.44603 19.51611 
10303.0 699.0671 19.518212 
10304.0 698.71876 19.520281 
10305.0 698.37 19.522314 
10306.0 698.00204 19.524306 
10307.0 697.61191 19.526256 
10308.0 697.20762 19.52816 
10309.0 696.7999 19.530016 
10310.0 696.39642 19.531819 
10311.0 696.00066 19.533564 
10312.0 695.61587 19.535246 
10313.0 695.25154 19.536858 
10314.0 694.92774 19.538394 
10315.0 694.67448 19.539849 
10316.0 694.52691 19.541219 
10317.0 694.51967 19.542501 
10318.0 694.68086 19.543695 
10319.0 695.02604 19.544801 
10320.0 695.55327 19.545823 
10321.0 696.24135 19.546761 
10322.0 697.05305 19.547621 
10323.0 697.94159 19.548407 
10324.0 698.85572 19.549124 
10325.0 699.74117 19.54978 
10326.0 700.54098 19.550381 
10327.0 701.19877 19.550939 
10328.0 701.66467 19.551464 
10329.0 701.90031 19.551966 
10330.0 701.88092 19.552454 
10331.0 701.59487 19.552937 
10332.0 701.04186 19.55342 
10333.0 700.23044 19.553909 
10334.0 699.17755 19.554407 
10335.0 697.91207 19.554916 
10336.0 696.47846 19.55544 
10337.0 694.93504 19.55598 
10338.0 693.34628 19.556539 
10339.0 691.77364 19.557117 
10340.0 690.27005 19.557715 
10341.0 688.87898 19.558333 
10342.0 687.63492 19.558972 
10343.0 686.56339 19.559632 
10344.0 685.68062 19.560316 
10345.0 684.99352 19.561026 
10346.0 684.49964 19.561765 
10347.0 684.18745 19.562538 
10348.0 684.03733 19.563349 
10349.0 684.02319 19.564203 
10350.0 684.11594 19.565104 
10351.0 684.29015 19.566054 
10352.0 684.53255 19.567057 
10353.0 684.84661 19.568113 
10354.0 685.24821 19.569223 
10355.0 685.75384 19.570386 
10356.0 686.36884 19.571598 
10357.0 687.08363 19.572855 
10358.0 687.88066 19.57415 
10359.0 688.74398 19.575475 
10360.0 689.6583 19.576823 
10361.0 690.59741 19.578188 
10362.0 691.51662 19.579564 
10363.0 692.36255 19.580948 
10364.0 693.0966 19.582336 
10365.0 693.71569 19.583729 
10366.0 694.25466 19.585126 
10367.0 694.76827 19.586527 
10368.0 695.30601 19.587931 
10369.0 695.89556 19.589336 
10370.0 696.54172 19.590741 
10371.0 697.23712 19.592143 
10372.0 697.97584 19.593538 
10373.0 698.76196 19.594923 
10374.0 699.61109 19.596296 
10375.0 700.54817 19.597652 
10376.0 701.60498 19.598988 
10377.0 702.81792 19.600303 
10378.0 704.22523 19.601594 
