Step Time Temp
221.0 22.1 3832.6955 
222.0 22.2 3804.5053 
223.0 22.3 3773.8118 
224.0 22.4 3736.292 
225.0 22.5 3694.245 
226.0 22.6 3651.6106 
227.0 22.7 3610.0357 
228.0 22.8 3571.2855 
229.0 22.9 3535.6655 
230.0 23.0 3501.4902 
231.0 23.1 3466.6113 
232.0 23.2 3427.5813 
233.0 23.3 3385.2649 
234.0 23.4 3344.7908 
235.0 23.5 3306.213 
236.0 23.6 3269.1203 
237.0 23.7 3235.7671 
238.0 23.8 3205.0632 
239.0 23.9 3173.0803 
240.0 24.0 3141.3691 
241.0 24.1 3113.5345 
242.0 24.2 3091.0117 
243.0 24.3 3072.6611 
244.0 24.4 3054.1794 
245.0 24.5 3036.2646 
246.0 24.6 3022.1876 
247.0 24.7 3010.8809 
248.0 24.8 3002.4802 
249.0 24.9 2997.2422 
250.0 25.0 2994.1401 
251.0 25.1 2994.8624 
252.0 25.2 2997.5219 
253.0 25.3 2998.72 
254.0 25.4 2997.5839 
255.0 25.5 2995.1385 
256.0 25.6 2991.8402 
257.0 25.7 2987.6109 
258.0 25.8 2982.7424 
259.0 25.9 2976.6211 
260.0 26.0 2968.1042 
261.0 26.1 2955.1648 
262.0 26.2 2938.3104 
263.0 26.3 2920.2116 
264.0 26.4 2903.499 
265.0 26.5 2886.9668 
266.0 26.6 2868.8148 
267.0 26.7 2850.2686 
268.0 26.8 2832.3747 
269.0 26.9 2816.1954 
270.0 27.0 2803.0735 
271.0 27.1 2792.5468 
272.0 27.2 2784.2064 
273.0 27.3 2778.4009 
274.0 27.4 2775.0166 
275.0 27.5 2772.6613 
276.0 27.6 2770.8842 
277.0 27.7 2771.436 
278.0 27.8 2775.2288 
279.0 27.9 2779.9632 
280.0 28.0 2781.1056 
281.0 28.1 2778.5068 
282.0 28.2 2775.845 
283.0 28.3 2774.3051 
284.0 28.4 2771.576 
285.0 28.5 2764.8275 
286.0 28.6 2754.5417 
287.0 28.7 2741.2752 
288.0 28.8 2724.0283 
289.0 28.9 2703.2631 
290.0 29.0 2680.0432 
291.0 29.1 2655.5716 
292.0 29.2 2631.4527 
293.0 29.3 2608.3372 
294.0 29.4 2586.2498 
295.0 29.5 2566.2526 
296.0 29.6 2549.4714 
297.0 29.7 2533.3349 
298.0 29.8 2513.5969 
299.0 29.9 2491.4009 
300.0 30.0 2470.851 
301.0 30.1 2453.2219 
302.0 30.2 2437.2388 
303.0 30.3 2421.8897 
304.0 30.4 2407.0869 
305.0 30.5 2393.9249 
306.0 30.6 2383.8989 
307.0 30.7 2376.7985 
308.0 30.8 2370.7611 
309.0 30.9 2365.8018 
310.0 31.0 2363.0359 
311.0 31.1 2361.6137 
312.0 31.2 2360.4183 
313.0 31.3 2359.6796 
314.0 31.4 2359.5589 
315.0 31.5 2360.4438 
316.0 31.6 2362.523 
317.0 31.7 2363.8899 
318.0 31.8 2363.4954 
319.0 31.9 2363.1868 
320.0 32.0 2363.0061 
321.0 32.1 2362.2066 
322.0 32.2 2360.9854 
323.0 32.3 2357.8019 
324.0 32.4 2351.5234 
325.0 32.5 2343.4195 
326.0 32.6 2334.5083 
327.0 32.7 2324.3137 
328.0 32.8 2313.7912 
329.0 32.9 2304.2898 
330.0 33.0 2295.1421 
331.0 33.1 2285.1701 
332.0 33.2 2273.3088 
333.0 33.3 2258.812 
334.0 33.4 2242.7855 
335.0 33.5 2227.5469 
336.0 33.6 2214.5168 
337.0 33.7 2204.0509 
338.0 33.8 2195.6099 
339.0 33.9 2187.4671 
340.0 34.0 2177.2641 
341.0 34.1 2164.3983 
342.0 34.2 2149.6205 
343.0 34.3 2132.0922 
344.0 34.4 2111.5536 
345.0 34.5 2090.6358 
346.0 34.6 2071.4988 
347.0 34.7 2054.2202 
348.0 34.8 2038.2766 
349.0 34.9 2023.6922 
350.0 35.0 2011.0292 
351.0 35.1 2000.4926 
352.0 35.2 1991.7979 
353.0 35.3 1984.4624 
354.0 35.4 1978.1743 
355.0 35.5 1972.6522 
356.0 35.6 1967.4361 
357.0 35.7 1962.3373 
358.0 35.8 1958.0322 
359.0 35.9 1955.1363 
360.0 36.0 1953.1121 
361.0 36.1 1951.1588 
362.0 36.2 1949.0299 
363.0 36.3 1946.7965 
364.0 36.4 1944.5763 
365.0 36.5 1942.2976 
366.0 36.6 1939.4191 
367.0 36.7 1935.1949 
368.0 36.8 1929.1858 
