a1 a2 energy
19.290339 19.29034 -2.5173697 
19.306714 19.306716 -2.5195113 
19.32309 19.323091 -2.5214575 
19.339465 19.339467 -2.5232115 
19.355841 19.355842 -2.524776 
19.372216 19.372218 -2.5261542 
19.388592 19.388593 -2.5273494 
19.404967 19.404969 -2.5283651 
19.421343 19.421344 -2.5292049 
19.437718 19.43772 -2.529873 
19.454094 19.454095 -2.5303738 
19.470469 19.470471 -2.5307123 
19.486845 19.486846 -2.530894 
19.50322 19.503222 -2.5309249 
19.519596 19.519597 -2.5308119 
19.535971 19.535973 -2.5305627 
19.552347 19.552348 -2.5301857 
19.568722 19.568724 -2.5296905 
19.585098 19.585099 -2.5290877 
19.601473 19.601475 -2.5283894 
19.617849 19.61785 -2.5276085 
19.634224 19.634226 -2.5267598 
19.6506 19.650601 -2.5258593 
19.666975 19.666977 -2.5249248 
19.683351 19.683352 -2.5239757 
19.699726 19.699728 -2.523033 
19.716102 19.716103 -2.5221199 
19.732477 19.732479 -2.5212612 
19.748853 19.748854 -2.5204837 
19.765228 19.76523 -2.5198161 
19.781604 19.781605 -2.519289 
19.797979 19.797981 -2.5189352 
19.814355 19.814356 -2.518789 
19.83073 19.830732 -2.5188868 
19.847106 19.847107 -2.5192667 
19.863481 19.863483 -2.5199685 
19.879857 19.879858 -2.5210335 
19.896232 19.896234 -2.5225043 
19.912608 19.912609 -2.5244251 
19.928983 19.928985 -2.5268407 
19.945359 19.94536 -2.5297973 
19.961734 19.961736 -2.5333412 
19.97811 19.978111 -2.5375194 
19.994485 19.994487 -2.542379 
20.010861 20.010862 -2.5479669 
20.027236 20.027238 -2.5543294 
20.043612 20.043613 -2.561512 
20.059987 20.059989 -2.5695589 
20.076363 20.076364 -2.5785129 
20.092738 20.09274 -2.5884145 
20.109114 20.109115 -2.5993015 
20.125489 20.125491 -2.6112089 
20.141865 20.141866 -2.6241679 
20.15824 20.158242 -2.6382056 
20.174616 20.174617 -2.6533442 
20.190991 20.190993 -2.6696005 
20.207367 20.207368 -2.6869851 
20.223742 20.223744 -2.705502 
20.240118 20.240119 -2.7251478 
20.256493 20.256495 -2.745911 
20.272869 20.27287 -2.7677716 
20.289244 20.289246 -2.7907005 
20.30562 20.305621 -2.8146593 
20.321995 20.321997 -2.8395995 
20.338371 20.338372 -2.8654629 
20.354747 20.354748 -2.8921814 
20.371122 20.371123 -2.919677 
20.387497 20.387499 -2.9478626 
20.403873 20.403874 -2.976642 
20.420248 20.42025 -3.0059113 
20.436624 20.436625 -3.0355598 
20.453 20.453001 -3.0654708 
20.469375 20.469376 -3.0955236 
20.48575 20.485752 -3.1255946 
20.502126 20.502127 -3.155559 
20.518501 20.518503 -3.1852928 
20.534877 20.534878 -3.2146742 
20.551253 20.551254 -3.2435857 
20.567628 20.567629 -3.271915 
20.584003 20.584005 -3.2995573 
20.600379 20.60038 -3.3264163 
20.616754 20.616756 -3.352405 
20.63313 20.633131 -3.3774472 
20.649506 20.649507 -3.4014774 
20.665881 20.665882 -3.4244417 
20.682256 20.682258 -3.446298 
20.698632 20.698633 -3.4670152 
20.715007 20.715009 -3.4865735 
20.731383 20.731384 -3.5049637 
20.747758 20.74776 -3.5221861 
20.764134 20.764135 -3.5382503 
20.780509 20.780511 -3.5531735 
20.796885 20.796886 -3.5669801 
20.81326 20.813262 -3.5796971 
20.829636 20.829637 -3.591345 
20.846011 20.846013 -3.6019661 
20.862387 20.862388 -3.6116072 
20.878762 20.878764 -3.6203167 
20.895138 20.895139 -3.6281434 
