Step Strain_x Stress_x
1177.0 0.41318194 8.9520558 
1178.0 0.4133208 9.3234997 
1179.0 0.41345966 9.6338946 
1180.0 0.41359852 9.8733954 
1181.0 0.41373738 10.249021 
1182.0 0.41387624 10.638679 
1183.0 0.4140151 11.015996 
1184.0 0.41415396 11.459288 
1185.0 0.41429282 11.760359 
1186.0 0.41443168 11.990876 
1187.0 0.41457054 12.151216 
1188.0 0.4147094 12.250725 
1189.0 0.41484826 12.213133 
1190.0 0.41498712 12.273744 
1191.0 0.41512598 12.282731 
1192.0 0.41526484 12.419458 
1193.0 0.4154037 12.513643 
1194.0 0.41554256 12.765631 
1195.0 0.41568142 13.058271 
1196.0 0.41582029 13.384605 
1197.0 0.41595915 13.800436 
1198.0 0.41609801 14.196719 
1199.0 0.41623687 14.629688 
1200.0 0.41637573 15.105401 
1201.0 0.41651459 15.626634 
1202.0 0.41665345 16.198915 
1203.0 0.41679231 16.82231 
1204.0 0.41693117 17.489442 
1205.0 0.41707003 18.172134 
1206.0 0.41720889 18.844814 
1207.0 0.41734775 19.484525 
1208.0 0.41748661 20.073175 
1209.0 0.41762547 20.594604 
1210.0 0.41776433 21.11284 
1211.0 0.41790319 21.476231 
1212.0 0.41804205 21.737868 
1213.0 0.41818091 21.888744 
1214.0 0.41831977 21.935063 
1215.0 0.41845863 21.930624 
1216.0 0.41859749 21.761053 
1217.0 0.41873635 21.384243 
1218.0 0.41887521 20.942499 
1219.0 0.41901407 20.413738 
1220.0 0.41915293 19.885597 
1221.0 0.41929179 19.482889 
1222.0 0.41943065 19.091699 
1223.0 0.41956952 18.75758 
1224.0 0.41970838 18.473762 
1225.0 0.41984724 18.225512 
1226.0 0.4199861 17.983765 
1227.0 0.42012496 17.718247 
1228.0 0.42026382 17.423987 
1229.0 0.42040268 17.125136 
1230.0 0.42054154 16.851827 
1231.0 0.4206804 16.619682 
1232.0 0.42081926 16.429031 
1233.0 0.42095812 16.271767 
1234.0 0.42109698 16.251426 
1235.0 0.42123584 16.19382 
1236.0 0.4213747 16.192908 
1237.0 0.42151356 16.240607 
1238.0 0.42165242 16.320193 
1239.0 0.42179128 16.412104 
1240.0 0.42193014 16.501689 
1241.0 0.422069 16.577227 
1242.0 0.42220786 16.62898 
1243.0 0.42234672 16.648373 
1244.0 0.42248558 16.626596 
1245.0 0.42262444 16.417777 
1246.0 0.4227633 16.350885 
1247.0 0.42290216 16.266962 
1248.0 0.42304102 16.255082 
1249.0 0.42317988 16.317229 
1250.0 0.42331875 16.588388 
1251.0 0.42345761 16.887465 
1252.0 0.42359647 16.992094 
1253.0 0.42373533 16.92911 
1254.0 0.42387419 16.776471 
1255.0 0.42401305 16.566591 
1256.0 0.42415191 16.333984 
1257.0 0.42429077 16.030394 
1258.0 0.42442963 15.682323 
1259.0 0.42456849 15.288689 
1260.0 0.42470735 14.8464 
1261.0 0.42484621 14.371276 
1262.0 0.42498507 13.912662 
1263.0 0.42512393 13.657935 
1264.0 0.42526279 13.392571 
1265.0 0.42540165 13.236758 
1266.0 0.42554051 13.18989 
1267.0 0.42567937 13.245451 
1268.0 0.42581823 13.390685 
1269.0 0.42595709 13.640633 
1270.0 0.42609595 13.940326 
1271.0 0.42623481 14.202978 
1272.0 0.42637367 14.281555 
1273.0 0.42651253 14.102508 
1274.0 0.42665139 13.825034 
1275.0 0.42679025 13.645459 
1276.0 0.42692911 13.620645 
1277.0 0.42706797 13.712755 
1278.0 0.42720684 13.870083 
1279.0 0.4273457 14.057352 
1280.0 0.42748456 14.217113 
1281.0 0.42762342 14.455341 
1282.0 0.42776228 14.686724 
1283.0 0.42790114 14.953219 
1284.0 0.42804 15.144239 
1285.0 0.42817886 15.341688 
1286.0 0.42831772 15.592238 
1287.0 0.42845658 15.844085 
1288.0 0.42859544 16.083976 
1289.0 0.4287343 16.292381 
1290.0 0.42887316 16.455115 
1291.0 0.42901202 16.556588 
1292.0 0.42915088 16.585009 
1293.0 0.42928974 16.53346 
1294.0 0.4294286 16.394106 
1295.0 0.42956746 16.228768 
1296.0 0.42970632 15.924486 
