Step Temp msd
10188.0 750.43951 0.19921406 
10189.0 750.22368 0.19924824 
10190.0 749.96487 0.19928337 
10191.0 749.66069 0.19931942 
10192.0 749.30959 0.19935639 
10193.0 748.91102 0.19939427 
10194.0 748.46552 0.19943305 
10195.0 747.97491 0.19947271 
10196.0 747.44255 0.19951323 
10197.0 746.87316 0.1995546 
10198.0 746.27278 0.19959681 
10199.0 745.64895 0.19963984 
10200.0 745.01052 0.19968366 
10201.0 744.36737 0.19972827 
10202.0 743.73026 0.19977365 
10203.0 743.11041 0.19981977 
10204.0 742.51907 0.19986663 
10205.0 741.96708 0.19991421 
10206.0 741.46432 0.19996248 
10207.0 741.01951 0.20001143 
10208.0 740.63993 0.20006106 
10209.0 740.33119 0.20011133 
10210.0 740.09712 0.20016224 
10211.0 739.9399 0.20021377 
10212.0 739.86005 0.20026591 
10213.0 739.85617 0.20031864 
10214.0 739.92521 0.20037196 
10215.0 740.06272 0.20042584 
10216.0 740.26309 0.20048027 
10217.0 740.51958 0.20053525 
10218.0 740.82453 0.20059075 
10219.0 741.16964 0.20064678 
10220.0 741.54603 0.2007033 
10221.0 741.94457 0.20076032 
10222.0 742.35633 0.20081781 
10223.0 742.77265 0.20087576 
10224.0 743.18528 0.20093417 
10225.0 743.58666 0.20099301 
10226.0 743.97002 0.20105227 
10227.0 744.32941 0.20111193 
10228.0 744.65975 0.20117199 
10229.0 744.95705 0.20123242 
10230.0 745.21845 0.20129321 
10231.0 745.44215 0.20135434 
10232.0 745.62742 0.2014158 
10233.0 745.77445 0.20147757 
10234.0 745.88405 0.20153964 
10235.0 745.95756 0.20160198 
10236.0 745.99675 0.20166459 
10237.0 746.00356 0.20172745 
10238.0 745.97991 0.20179054 
10239.0 745.92748 0.20185384 
10240.0 745.84747 0.20191736 
10241.0 745.74051 0.20198106 
10242.0 745.60655 0.20204494 
10243.0 745.44494 0.20210899 
10244.0 745.25434 0.20217319 
10245.0 745.03255 0.20223754 
10246.0 744.77667 0.20230201 
10247.0 744.48314 0.20236661 
10248.0 744.14786 0.20243132 
10249.0 743.76642 0.20249614 
10250.0 743.33422 0.20256106 
10251.0 742.84662 0.20262607 
10252.0 742.29905 0.20269116 
10253.0 741.68737 0.20275634 
10254.0 741.00805 0.20282159 
10255.0 740.25801 0.20288691 
10256.0 739.43503 0.20295229 
10257.0 738.53807 0.20301773 
10258.0 737.56712 0.20308324 
10259.0 736.52333 0.2031488 
10260.0 735.40914 0.20321441 
10261.0 734.22819 0.20328008 
10262.0 732.98521 0.20334579 
10263.0 731.68601 0.20341155 
10264.0 730.33753 0.20347736 
10265.0 728.94738 0.20354321 
10266.0 727.52384 0.20360911 
10267.0 726.07589 0.20367505 
10268.0 724.61269 0.20374103 
10269.0 723.14334 0.20380706 
10270.0 721.67683 0.20387312 
10271.0 720.22187 0.20393923 
10272.0 718.78673 0.20400538 
10273.0 717.37903 0.20407158 
10274.0 716.00572 0.20413781 
10275.0 714.67289 0.20420408 
10276.0 713.38569 0.20427039 
10277.0 712.14826 0.20433675 
10278.0 710.96371 0.20440314 
10279.0 709.83404 0.20446956 
10280.0 708.76015 0.20453603 
10281.0 707.74195 0.20460252 
10282.0 706.77831 0.20466905 
10283.0 705.86723 0.2047356 
10284.0 705.00583 0.20480218 
10285.0 704.19056 0.20486879 
10286.0 703.41733 0.20493541 
10287.0 702.68178 0.20500204 
10288.0 701.9796 0.20506867 
10289.0 701.30664 0.20513531 
10290.0 700.65914 0.20520195 
10291.0 700.03403 0.20526857 
10292.0 699.42894 0.20533517 
10293.0 698.84242 0.20540175 
10294.0 698.27394 0.20546828 
10295.0 697.72393 0.20553478 
10296.0 697.19371 0.20560122 
10297.0 696.68536 0.20566759 
10298.0 696.20162 0.20573389 
10299.0 695.7457 0.2058001 
10300.0 695.32093 0.20586622 
10301.0 694.93061 0.20593223 
10302.0 694.57781 0.20599812 
10303.0 694.26519 0.20606387 
10304.0 693.99488 0.20612948 
10305.0 693.76841 0.20619494 
10306.0 693.58661 0.20626022 
10307.0 693.44961 0.20632532 
10308.0 693.3568 0.20639023 
10309.0 693.30685 0.20645493 
10310.0 693.29804 0.20651941 
10311.0 693.32833 0.20658366 
10312.0 693.39529 0.20664767 
10313.0 693.49622 0.20671142 
10314.0 693.62816 0.20677491 
10315.0 693.78801 0.20683812 
10316.0 693.97248 0.20690105 
10317.0 694.17818 0.2069637 
10318.0 694.40166 0.20702604 
10319.0 694.63943 0.20708808 
10320.0 694.88794 0.20714982 
10321.0 695.14359 0.20721125 
10322.0 695.40272 0.20727236 
10323.0 695.66159 0.20733317 
10324.0 695.91635 0.20739366 
10325.0 696.16314 0.20745385 
10326.0 696.39805 0.20751373 
10327.0 696.61719 0.20757332 
10328.0 696.81666 0.20763263 
10329.0 696.99261 0.20769165 
10330.0 697.14135 0.2077504 
10331.0 697.2596 0.2078089 
10332.0 697.34444 0.20786716 
10333.0 697.39336 0.20792518 
10334.0 697.40443 0.207983 
10335.0 697.37638 0.20804062 
10336.0 697.30871 0.20809805 
10337.0 697.2018 0.20815533 
10338.0 697.05693 0.20821247 
10339.0 696.87638 0.20826949 
10340.0 696.6635 0.20832641 
10341.0 696.42263 0.20838324 
10342.0 696.15905 0.20844002 
10343.0 695.87893 0.20849675 
10344.0 695.58918 0.20855346 
10345.0 695.29726 0.20861018 
10346.0 695.01109 0.20866691 
10347.0 694.73862 0.20872369 
10348.0 694.48786 0.20878052 
10349.0 694.26683 0.20883743 
10350.0 694.08324 0.20889444 
10351.0 693.94426 0.20895155 
10352.0 693.85635 0.2090088 
10353.0 693.82517 0.20906619 
10354.0 693.85549 0.20912374 
10355.0 693.95113 0.20918147 
10356.0 694.11492 0.20923938 
10357.0 694.34866 0.2092975 
10358.0 694.6531 0.20935582 
10359.0 695.02793 0.20941437 
10360.0 695.47181 0.20947314 
10361.0 695.98242 0.20953216 
10362.0 696.55651 0.20959142 
10363.0 697.18996 0.20965094 
10364.0 697.8779 0.20971071 
10365.0 698.61488 0.20977075 
10366.0 699.39496 0.20983105 
10367.0 700.21168 0.20989162 
10368.0 701.05831 0.20995247 
10369.0 701.92793 0.21001358 
10370.0 702.81367 0.21007495 
10371.0 703.70886 0.2101366 
10372.0 704.607 0.21019851 
10373.0 705.50173 0.21026068 
10374.0 706.3871 0.21032311 
10375.0 707.25766 0.21038579 
10376.0 708.10844 0.21044872 
10377.0 708.93506 0.21051188 
10378.0 709.73367 0.21057528 
10379.0 710.50099 0.21063891 
10380.0 711.23427 0.21070274 
10381.0 711.93132 0.21076679 
10382.0 712.5906 0.21083104 
10383.0 713.21106 0.21089548 
10384.0 713.79228 0.2109601 
10385.0 714.33436 0.21102489 
10386.0 714.83783 0.21108985 
10387.0 715.30365 0.21115496 
10388.0 715.7333 0.21122021 
10389.0 716.12873 0.21128559 
10390.0 716.49235 0.21135109 
10391.0 716.82697 0.21141671 
10392.0 717.13575 0.21148243 
10393.0 717.4223 0.21154823 
10394.0 717.69058 0.21161411 
10395.0 717.94462 0.21168006 
10396.0 718.18858 0.21174606 
10397.0 718.42663 0.21181211 
10398.0 718.66291 0.21187818 
10399.0 718.90151 0.21194426 
10400.0 719.1464 0.21201035 
10401.0 719.40137 0.21207642 
10402.0 719.67007 0.21214246 
10403.0 719.95588 0.21220846 
10404.0 720.26186 0.2122744 
10405.0 720.5907 0.21234026 
10406.0 720.9446 0.21240603 
10407.0 721.32526 0.21247168 
10408.0 721.73385 0.21253721 
10409.0 722.17097 0.21260259 
10410.0 722.63646 0.2126678 
10411.0 723.12959 0.21273283 
10412.0 723.64916 0.21279764 
10413.0 724.19327 0.21286223 
10414.0 724.75922 0.21292657 
10415.0 725.34355 0.21299064 
10416.0 725.94212 0.21305442 
10417.0 726.55019 0.21311788 
10418.0 727.16253 0.213181 
10419.0 727.77348 0.21324376 
10420.0 728.37711 0.21330614 
10421.0 728.96737 0.21336811 
10422.0 729.53828 0.21342965 
10423.0 730.08417 0.21349073 
10424.0 730.59991 0.21355134 
10425.0 731.08111 0.21361145 
10426.0 731.52423 0.21367105 
10427.0 731.92672 0.2137301 
10428.0 732.28717 0.21378858 
10429.0 732.60539 0.21384649 
10430.0 732.88251 0.21390379 
10431.0 733.12097 0.21396048 
10432.0 733.32429 0.21401653 
10433.0 733.49714 0.21407193 
10434.0 733.64515 0.21412667 
10435.0 733.77475 0.21418072 
10436.0 733.89297 0.21423409 
10437.0 734.0073 0.21428677 
10438.0 734.12555 0.21433873 
10439.0 734.25553 0.21438999 
10440.0 734.40483 0.21444053 
10441.0 734.58065 0.21449036 
10442.0 734.78964 0.21453948 
10443.0 735.0378 0.21458788 
10444.0 735.33031 0.21463557 
10445.0 735.6712 0.21468256 
10446.0 736.06335 0.21472885 
10447.0 736.50838 0.21477447 
10448.0 737.00669 0.21481941 
10449.0 737.55746 0.2148637 
10450.0 738.15872 0.21490734 
10451.0 738.80739 0.21495036 
10452.0 739.49938 0.21499278 
10453.0 740.22983 0.21503462 
10454.0 740.9931 0.21507589 
10455.0 741.783 0.21511663 
10456.0 742.59292 0.21515685 
10457.0 743.41612 0.21519658 
10458.0 744.24605 0.21523585 
10459.0 745.07637 0.21527469 
10460.0 745.90096 0.21531312 
10461.0 746.71427 0.21535117 
10462.0 747.51154 0.21538886 
10463.0 748.2888 0.21542623 
10464.0 749.04292 0.2154633 
10465.0 749.77169 0.2155001 
10466.0 750.47379 0.21553665 
10467.0 751.14881 0.21557298 
10468.0 751.79705 0.21560912 
10469.0 752.41963 0.21564509 
10470.0 753.0184 0.2156809 
10471.0 753.59581 0.2157166 
10472.0 754.15484 0.21575218 
10473.0 754.69879 0.21578769 
10474.0 755.23125 0.21582312 
10475.0 755.75606 0.21585851 
10476.0 756.27712 0.21589386 
10477.0 756.79836 0.21592919 
10478.0 757.32378 0.21596453 
10479.0 757.85724 0.21599988 
10480.0 758.40222 0.21603525 
10481.0 758.96179 0.21607066 
10482.0 759.53864 0.21610613 
10483.0 760.13507 0.21614166 
10484.0 760.75287 0.21617727 
10485.0 761.39329 0.21621297 
10486.0 762.05726 0.21624878 
10487.0 762.74516 0.21628469 
10488.0 763.45652 0.21632074 
10489.0 764.1903 0.21635693 
10490.0 764.94486 0.21639327 
10491.0 765.71785 0.21642978 
10492.0 766.50638 0.21646647 
10493.0 767.307 0.21650336 
10494.0 768.1157 0.21654046 
10495.0 768.92801 0.21657778 
10496.0 769.73914 0.21661534 
10497.0 770.54393 0.21665316 
10498.0 771.33692 0.21669125 
10499.0 772.11238 0.21672962 
10500.0 772.8641 0.21676829 
10501.0 773.58571 0.21680728 
10502.0 774.27089 0.21684659 
10503.0 774.91313 0.21688626 
10504.0 775.50577 0.21692628 
10505.0 776.04212 0.21696668 
10506.0 776.5157 0.21700747 
10507.0 776.92005 0.21704866 
10508.0 777.24874 0.21709026 
10509.0 777.49557 0.2171323 
10510.0 777.65471 0.21717478 
10511.0 777.72079 0.2172177 
10512.0 777.68917 0.2172611 
10513.0 777.5559 0.21730496 
10514.0 777.31794 0.21734931 
10515.0 776.9732 0.21739415 
10516.0 776.52064 0.21743948 
10517.0 775.96052 0.21748533 
10518.0 775.29452 0.21753168 
10519.0 774.52567 0.21757855 
10520.0 773.65834 0.21762594 
10521.0 772.69812 0.21767385 
10522.0 771.65179 0.21772227 
10523.0 770.52742 0.21777122 
10524.0 769.33414 0.21782069 
10525.0 768.08199 0.21787067 
10526.0 766.78179 0.21792116 
10527.0 765.44497 0.21797216 
10528.0 764.08342 0.21802365 
10529.0 762.70941 0.21807562 
10530.0 761.33551 0.21812808 
10531.0 759.97431 0.218181 
10532.0 758.638 0.21823438 
10533.0 757.33834 0.2182882 
10534.0 756.08649 0.21834245 
10535.0 754.89284 0.21839711 
10536.0 753.76689 0.21845216 
10537.0 752.71732 0.2185076 
10538.0 751.75176 0.21856341 
10539.0 750.87665 0.21861956 
10540.0 750.09721 0.21867605 
10541.0 749.4176 0.21873286 
10542.0 748.84091 0.21878997 
10543.0 748.3692 0.21884736 
10544.0 748.00347 0.21890502 
10545.0 747.74381 0.21896294 
10546.0 747.58936 0.2190211 
10547.0 747.5386 0.21907949 
10548.0 747.58924 0.21913809 
10549.0 747.73819 0.2191969 
10550.0 747.98169 0.2192559 
10551.0 748.31539 0.21931509 
10552.0 748.7345 0.21937446 
10553.0 749.23375 0.21943399 
10554.0 749.80734 0.21949369 
10555.0 750.44903 0.21955354 
10556.0 751.15213 0.21961355 
10557.0 751.9095 0.21967371 
10558.0 752.71362 0.21973402 
10559.0 753.55663 0.21979448 
10560.0 754.43035 0.21985508 
10561.0 755.32635 0.21991583 
10562.0 756.23604 0.21997673 
10563.0 757.15078 0.22003778 
10564.0 758.06192 0.22009897 
10565.0 758.9609 0.22016032 
10566.0 759.83939 0.22022182 
10567.0 760.68938 0.22028347 
10568.0 761.50324 0.22034527 
10569.0 762.27395 0.22040723 
10570.0 762.99515 0.22046934 
10571.0 763.66127 0.2205316 
10572.0 764.26763 0.22059402 
10573.0 764.81062 0.22065658 
10574.0 765.2877 0.2207193 
10575.0 765.69744 0.22078215 
10576.0 766.03947 0.22084515 
10577.0 766.31445 0.22090828 
10578.0 766.52411 0.22097153 
10579.0 766.67127 0.22103492 
10580.0 766.75977 0.22109842 
10581.0 766.79429 0.22116204 
10582.0 766.78035 0.22122577 
10583.0 766.72404 0.22128959 
10584.0 766.63187 0.22135352 
10585.0 766.51072 0.22141753 
10586.0 766.36766 0.22148163 
10587.0 766.21 0.22154581 
10588.0 766.04499 0.22161007 
10589.0 765.87981 0.2216744 
10590.0 765.72154 0.2217388 
10591.0 765.57708 0.22180328 
10592.0 765.45303 0.22186782 
10593.0 765.35557 0.22193243 
